"TIME","U2(IN+)"
0.02921590254,-0.168863
0.02926540005,-0.168776
0.02926540105,-0.168666
0.02926540305,-0.168583
0.02926541505,-0.168553
0.02926550206,-0.168666
0.02926567029,-0.168717
0.02926614403,-0.168764
0.02926769609,-0.168774
0.02929567065,-0.168693
0.02932530117,-0.168592
0.02938456221,-0.168326
0.02950308428,-0.167543
0.02974012843,-0.164981
0.02979750005,-0.164162
0.02979750105,-0.164265
0.02979750305,-0.164347
0.02979751505,-0.164378
0.02979760273,-0.164267
0.02979777322,-0.164214
0.02979825638,-0.16416
0.02979984192,-0.164123
0.02982896329,-0.163681
0.02985984676,-0.163186
0.02992161371,-0.162131
0.03004514761,-0.159758
0.0302922154,-0.153982
0.03032960006,-0.152991
0.03032960106,-0.152892
0.03032960306,-0.152817
0.03032961506,-0.152789
0.03032970403,-0.152891
0.03032988212,-0.152933
0.03033039546,-0.152963
0.03033871774,-0.152745
0.0303649634,-0.152026
0.03039995762,-0.151044
0.03046994604,-0.149002
0.03060992289,-0.14461
0.03086170006,-0.13571
0.03086170106,-0.135796
0.03086170306,-0.135863
0.03086171506,-0.135889
0.03086180669,-0.135791
0.0308619973,-0.135741
0.03086256278,-0.135681
0.03090210689,-0.134166
0.03094227868,-0.132601
0.03102262226,-0.129379
0.03118330943,-0.122585
0.03139380006,-0.113013
0.03139380106,-0.112939
0.03139380306,-0.112884
0.03139381506,-0.112863
0.03139391073,-0.112939
0.03139411755,-0.112965
0.03139476296,-0.112967
0.03141768043,-0.111881
0.03148865067,-0.108464
0.03158327766,-0.103789
0.03177253164,-0.0940513
0.03192590006,-0.0858089
0.03192590106,-0.0858627
0.03192590306,-0.0859053
0.03192591506,-0.0859212
0.03192601793,-0.0858518
0.03192624409,-0.0858131
0.03192701278,-0.0857465
0.03195597603,-0.0841582
0.03198587359,-0.0825067
0.0320456687,-0.0791728
0.03216525893,-0.0723869
0.03240443937,-0.0583919
0.03245800006,-0.0551895
0.03245800106,-0.0551536
0.03245800306,-0.0551264
0.03245801506,-0.0551159
0.03245806306,-0.0551342
0.03245812706,-0.0551521
0.0324583969,-0.0551533
0.03245944711,-0.0551051
0.03250225324,-0.0525268
0.03254644022,-0.0498536
0.03263481417,-0.0444671
0.03281156208,-0.0335542
0.03299010006,-0.0223827
0.03299010106,-0.0223967
0.03299010306,-0.0224077
0.03299011506,-0.0224113
0.03299022706,-0.0223868
0.03299061106,-0.0223537
0.03299214706,-0.0222527
0.03300648306,-0.0213519
0.03305563506,-0.0182546
0.03312117106,-0.0141157
0.03325224306,-0.00581584
0.03352220006,0.0112959
0.03352220106,0.0112886
0.03352220306,0.0112832
0.03352221506,0.011282
0.03352226306,0.0112893
0.03352232706,0.0112978
0.03352271106,0.0113266
0.03352424706,0.011426
0.03355496706,0.013368
0.03358773506,0.015438
0.03365327106,0.0195704
0.03378434306,0.0277956
0.03404648706,0.0440179
0.03405430006,0.0444955
0.03405430106,0.0445235
0.03405430306,0.0445458
0.03405431506,0.0445551
0.03405442706,0.0445273
0.03405472697,0.0445305
0.03405592658,0.0445927
0.03406712301,0.0452786
0.03410551076,0.047616
0.03415669443,0.0507168
0.03425906177,0.0568599
0.03446379645,0.0688802
0.03458640006,0.0758848
0.03458640106,0.0758356
0.03458640306,0.0757985
0.03458641506,0.0757857
0.03458652124,0.0758491
0.0345867579,0.0758855
0.0345875964,0.0759543
0.03462001921,0.0777776
0.03465348793,0.0796494
0.03472042535,0.0833544
0.0348543002,0.0906015
0.03511850007,0.104205
0.03511850107,0.10427
0.03511850307,0.104322
0.03511851507,0.104343
0.03511861286,0.104273
0.03511882467,0.104251
0.03511950176,0.104254
0.03514397173,0.105464
0.03521974969,0.10915
0.03532078697,0.113925
0.03552286154,0.122969
0.03565060007,0.12832
0.03565060107,0.128237
0.03565060307,0.128174
0.03565061507,0.128152
0.0356507078,0.128245
0.03565090545,0.128293
0.03565150014,0.128355
0.03567206625,0.12919
0.03573575487,0.131722
0.03582067302,0.134978
0.03599050932,0.14107
0.03618270007,0.147263
0.03618270107,0.147356
0.03618270307,0.147429
0.03618271507,0.147458
0.03618280496,0.14736
0.03618298658,0.147319
0.03618351481,0.147293
0.03622021359,0.148382
0.03625749489,0.149465
0.0363320575,0.151541
0.0364811827,0.155331
0.03671480007,0.160274
0.03671480107,0.16017
0.03671480307,0.160092
0.03671481507,0.160063
0.0367149031,0.160173
0.03671507643,0.160226
0.03671557054,0.160281
0.03671719532,0.160322
0.03674760888,0.160869
0.03677990811,0.161431
0.03684450659,0.162482
0.03697370353,0.164294
0.03723209742,0.16674
0.03724690007,0.166832
0.03724690107,0.166937
0.03724690307,0.16702
0.03724691507,0.167052
0.03724700242,0.166941
0.03724717133,0.16689
